code,course_name,description
ART-3291,Topics in Studio Art,"From time to time special topic courses not described in the Courses of Study Bulletin will be offered.  The course may be taken more than once, as long as course content changes.  Prerequisite:  Consent of instructor."
ART-3297,Internship,"Internships are offered in a variety of professional visual art venues such as museums, galleries and other art institutions.  Such work will not exceed 10 hours per week.  1-3 hours per semester, maximum 6 semester hours.  Pass/Fail only.  Prerequisites: Junior or senior standing art major or minor and consent of department chair."
ART-3391,Topics in Studio Art,"From time to time special topic courses not described in the Courses of Study Bulletin will be offered.  The course may be taken more than once, as long as course content changes.  Prerequisite:  Consent of instructor."
ART-3397,Internship,"Internships are offered in a variety of professional visual art venues such as museums, galleries and other art institutions.  Such work will not exceed 10 hours per week.  1-3 hours per semester, maximum 6 semester hours.  Pass/Fail only.  Prerequisites: Junior or senior standing art major or minor and consent of department chair."
ART-3398,Honors Readings,Independent study in selected areas in preparation for Honors Thesis. Prerequisite:  Admission to Honors Program.
ART-3491,Topics in Studio Art,"From time to time special topic courses not described in the Courses of Study Bulletin will be offered.  The course may be taken more than once, as long as course content changes.  Prerequisite:  Consent of instructor."
ART-4297,Senior Studio,"Concentrated advanced study in studio art in  preparation for the senior exhibition. Coursework   includes: critiques; museum, gallery and/or  artist studio visits; and hands-on experience in  organization and installation of  the annual  senior art major exhibition. ART 4394 and ART  4297 are required in the senior year.   Prerequisite: ART 4394.  Corequisite: Highest-level studio art course in the area of the student's concentration. Senior standing with major in Studio Art or consent of instructor."
ART-4394,Senior Seminar,"A combination of seminars, readings, and museum/gallery visits in preparation for portfolio development, senior exhibition, graduate study, and other art related professions. Fall semester only.  ART 4394 and ART 4297 are required in the Senior Year.  Prerequisite: Senior standing with major in Studio Art."
ART-4396,Gallery Practicum,"Gallery Practicum is a hands-on course offering instruction and experience in all aspects of the organization and installation of art exhibitions. Students will learn professional gallery management practices by researching exhibition content, arranging loans of artwork, and creating checklists, didactic labels and brochures. Through organizing and installing exhibitions in the university gallery, they will gain valuable experience in the selection, proper handling, placement, hanging and lighting of works of art in exhibitions.  Prerequisite: At least one course in Studio Art or Art History."
ART-4398,Honors Thesis,Individual research and scholarly investigation under faculty supervision leading to the preparation of an Honors Thesis. To be taken only by Senior Honors students in both semesters of their senior year.
ART-4399,Honors Thesis,Individual research and scholarly investigation under faculty supervision leading to the preparation of an Honors Thesis. To be taken only by Senior Honors students in both semesters of their senior year.
ARTH-3190,Independent Study in Art History,Independent study in selected areas.  1 to 3 semester hours; may be repeated for a total of no more than 6 hours.  Prerequisites: 6 advanced hours in Art History and consent of instructor.
ARTH-3197,Internship,"Internships are offered in conjunction with museums, art agencies, and art professionals in the San Antonio community and beyond, or may involve an introduction to visual resources management in the Department's Visual Resources Collection. Each internship must be directed by a faculty member who will draw up an agreement between the sponsoring institution or office, the student, and the department outlining the scope and requirements of the course. 1-3 hours per semester, maximum 6 semester hours. Elective credit only. Pass/Fail only.  Prerequisite: Approval by Department Chair."
ARTH-3290,Independent Study in Art History,Independent study in selected areas.  1 to 3 semester hours; may be repeated for a total of no more than 6 hours.  Prerequisites: 6 advanced hours in Art History and consent of instructor.
ARTH-3297,Internship,"Internships are offered in conjunction with museums, art agencies, and art professionals in the San Antonio community and beyond, or may involve an introduction to visual resources management in the Department's Visual Resources Collection. Each internship must be directed by a faculty member who will draw up an agreement between the sponsoring institution or office, the student, and the department outlining the scope and requirements of the course. 1-3 hours per semester, maximum 6 semester hours. Elective credit only. Pass/Fail only.  Prerequisite: Approval by Department Chair."
ARTH-3320,The Minoan-Mycenaean Civilization,"This course deals with the rediscovery of the Aegean Bronze Age civilizations of the Crete and Mycenae, using an interdisciplinary approach based on material from archaeology, anthropology, and the Homeric epics.  Prerequisite: Completion of one course in Art History, or sophomore standing, or consent of instructor."
ARTH-3325,Art and Power in Ancient Rome,"This course examines major works of art and architecture of Ancient Rome, from both the city and the provinces of its empire. Taking the collections of the San Antonio Museum of Art as its starting-point, the course focuses on a range of objects in various media, including sculpture, painting, metalwork, coinage, and mosaics, together with a selection of buildings and archaeological sites. These will be considered in relation to their social, cultural, political, religious and historical contexts, with a particular emphasis on the use of art and architecture to express and exert power in its various forms.  (Offered occasionally.)  Prerequisite: Completion of one course in Art History, or sophomore standing, or consent of instructor."
ARTH-3335,Pre-Columbian Art of Mesoamerica,"This course is a survey of the art of the ancient peoples of Mesoamerica.  It will examine the art of a variety of major groups, including the Olmec, the Maya, the Toltec, the Zapotec, the Mixtec, and the Aztec, as well as other indigenous peoples of Western Mexico and the Gulf Coast. (Same as ANTH 3335.)(Offered every other year.)"
ARTH-3343,Italian Baroque Art,"This course will examine the art and architecture of Italy in the late sixteenth and seventeenth centuries, with emphasis on the major figures and cultural factors associated with Baroque movements. In addition, this course may follow the impact of Italian Baroque art and architecture elsewhere in southern and northern Europe.  (Offered occasionally.)  Prerequisite: Completion of one course in Art History, or sophomore standing, or consent of instructor."
ARTH-3345,Spanish Colonial Art and Architecture In Mexico,"A study of the arts of Mexico from Conquest to Independence (1521-1821), with special attention to architecture and to architectural painting and sculpture.  The study also includes the Spanish sources of this art (the Late Gothic, Plateresque, Renaissance, Baroque, and Neo-Classical stylistic periods) and the persistence of indigenous forms, images, and sensibilities.  The course includes original material at hand:  the San Antonio Missions and works in the San Antonio Museum of Art.  (Offered occasionally.)  Prerequisite: Completion of one course in Art History, or sophomore standing, or consent of instructor."
ARTH-3357,History of Photography,"This course examines the artistic practices and the critical accounts which constitute the history of photography, from the 1830s to the present. Emphasis is given to the historical contextualization and visual analysis of key technologies, techniques, movements, styles, artists, and artworks, combines with close readings of primary and secondary texts.  (Offered occasionally.)  Prerequisite: Completion of one course in Art History, or sophomore standing, or consent of instructor."
ARTH-3360,Twentieth-Century Art: Cubism to Conceptualism (c.1900-1970),"This course introduces students to the major twentieth century artists, works, movements, and art theories in Europe and the United States, circa 1900 to 1970.  While concretely investigating a diversity of art practices, the course also considers the central relationship during this period between art and critical theories of modernism and postmodernism.  (Offered occasionally.)  Prerequisite: Completion of one course in Art History, or sophomore standing, or consent of instructor."
ARTH-3363,Contemporary Art and Culture Since 1945,"This course examines the artistic practices and critical accounts which constitute contemporary art, from the 1940s to the 1990s.  Relationships between avant-garde artistic activities and social, cultural, and political critique are a central focus.  Since this is not a survey class in the traditional sense, extensive reading in both historical and critical materials will be required.  Prerequisite: Completion of one course in Art History, or sophomore standing, or consent of instructor."
ARTH-3365,Contemporary Architecture,"This course covers architecture and urban development from the 1960s through the present. Emphasis on the artistic, ideological, theoretical, and political factors that shape contemporary built environments, with primary focus on the United States, Western Europe, and Japan.  (Offered occasionally.)  Prerequisite: Completion of one course in Art History, or sophomore standing, or consent of instructor."
ARTH-3376,Contemporary Chinese Art,"This course covers the development of art in China from 1976 (post-Cultural Revolution) to the present, including performance art, easel painting, concept art, women's art, etc. Aesthetic and stylistic changes will be examined in historical, societal, intellectual, and cultural contexts. (Also listed as CHIN 3376.)  (Offered every Spring.)"
ARTH-3390,Independent Study in Art History,Independent study in selected areas.  1 to 3 semester hours; may be repeated for a total of no more than 6 hours.  Prerequisites: 6 advanced hours in Art History and consent of instructor.
ARTH-3391,Topics in Art History,"From time to time special topic courses not described in the bulletin will be offered. Topics will generally cut across the chronological divisions of period courses, dealing instead with broader issues in Art History. May be repeated on different topics.  Prerequisite: Completion of one course in Art History, or sophomore standing, or consent of instructor."
ARTH-3392,Women's Studies in Art History,"Course content will vary depending on the instructor but may include some of the following: women as artists and architects, images of women in art and society, feminist methodology, or women as patrons of art. Course may be repeated with different topics for a maximum of six semester hours.  (Offered occasionally.)  Prerequisite: Completion of one course in Art History, or sophomore standing, or consent of instructor."
ARTH-3393,Museum Studies,"This course will focus on specific topics in the history, nature, and operation of the art museum. Specific issues may include: connoisseurship, documentation, the impact of the museum on the development of art, the nature of arts patronage, the function and purpose of the museum, and debates over the issues of censorship and/or community responsibility.  Prerequisite: Completion of one course in Art History, or sophomore standing, or consent of instructor."
ARTH-3395,Colloquium in Museum Studies,"This course will provide an experiential overview of the artistic, educational, and commercial functions of the modern art museum in a colloquium setting.  Students will have the opportunity to work in the classroom and on-site with museum professionals in San Antonio and the region.  Prerequisite: Completion of one course in Art History, or sophomore standing, or consent of instructor."
ARTH-3397,Internship,"Internships are offered in conjunction with museums, art agencies, and art professionals in the San Antonio community and beyond, or may involve an introduction to visual resources management in the Department's Visual Resources Collection. Each internship must be directed by a faculty member who will draw up an agreement between the sponsoring institution or office, the student, and the department outlining the scope and requirements of the course. 1-3 hours per semester, maximum 6 semester hours. Elective credit only. Pass/Fail only.  Prerequisite: Approval by Department Chair."
ARTH-3430,"Art, Gender, and Patronage at the Court of Burgundy","This course examines the relationship between art, gender, and patronage at the Burgundian court, from its inception in the late 14th century under Philip the Bold to the regency of Margaret of Austria in the early 16th century. During this era, Belgium, the Netherlands, and parts of northern France were governed by the dukes and duchesses of Burgundy and their Habsburg successors. Their claim to power was partly based on women's inheritance rights, as reflected in the dukes' artistic patronage and the decisive roles played by their female relatives as spouses, rulers, and patrons in their own right. This course explores the political, social, and religious concerns of the Burgundians through the various works of art they commissioned from the likes of Claus Sluter, Jan van Eyck, and Rogier van der Weyden.  Prerequisites: Completion of one course in Art History, or sophomore standing, or consent of instructor."
ARTH-3439,"Art At the Courts of Europe, C. 1330 - 1416","This course examines artistic patronage at the papal, imperial, royal, and ducal courts of northern and central Europe in the fourteenth century. Often collectively labeled as  ""International Gothic,"" the sumptuous artworks commissioned by the courts range from paintings and sculpture to textiles, manuscripts, and goldsmiths' work.  The course addresses various issues relating to these objects, including: taste, luxury, and display; the changing role of female patrons; technical innovation and expertise; and the hierarchies and interrelations of different media. One key theme is the emergence of individual artists' identities and so particular consideration is given to ambitious patrons' relationships with their most talented artists, including Simone Martini, Jean Pucelle, and the De Limbourg brothers (Offered every other year.)  Prerequisite: Completion of one course in Art History, or sophomore standing, or consent of instructor."
ARTH-3440,Northern Renaissance Art in the Fifteenth Century,"The 15th Century saw an explosion in artistic production in Northern Europe.  Technical advances, increasingly sophisticated markets, and an unquenchable thirst for images, meant that commissioning and owning works of art were no longer the preserve of kings and popes.  The course explores this phenomenon by considering how art was made, valued, and viewed in France, Germany, and the Netherlands, from c. 1400 to c. 1500.  Key themes, including the role of the altarpiece, popular devotion, technical innovations, and the international demand for Northern art, are explored through the work of Van Eyck, Van der Weyden, Memling, Schongauer, and their contemporaries. (Also listed as GRST 3440.)(Offered every other year.)  Prerequisite: Completion of one course in Art History, or sophomore standing, or consent of instructor."
ARTH-3441,Early Renaissance Art in Italy,"This course is a selective introduction to the art of Italy in the early renaissance, the period of the late thirteenth to the late fifteenth centuries. The course will pay particular attention to the cultural identity of Florence as well as Siena, Rome, and Venice. We will be studying the visual arts in relation to politics, religion, literature, and philosophy of the period as a distinctive cultural accomplishment. We will trace the careers of major artistic figures, such as Giotto, Masaccio, Brunelleschi, Donatello, and Botticelli not as isolated examples of genius but within the religious, social, economics, political, and historical contexts in which they functioned. The association of art and power dominates this period, and we will consider the interrelationship of structures of patronage within the church, the formulation of civic identity, gender, the imagery of political rule among leading families, particularly the Medici, and the changing status of the artist.  (Offered every other year.)  Prerequisite: Completion of one course in Art History, or sophomore standing, or consent of instructor."
ARTH-3442,Age of Leonardo: Art and Architecture in Italy 1475 - 1568,"Art History 3442 is a selective introduction to the art and architecture of Italy from 1475-1568. The course will pay particular attention to the major artistic centers of Florence, Rome, Milan and Venice. We will be studying the visual arts in relation to the politics, religion, culture and society of the period as a distinctive accomplishment. We will trace the careers of major figures of the period (Leonardo, Bramante, Raphael, Michelangelo, Titian and Palladio) within the religious, social, economic, political, and historical contexts in which they functioned.  (Offered every other year).  Prerequisite: Completion of one course in Art History, or sophomore standing, or consent of instructor."
